word,period,neighbors
virus,2010s,"mosquito-borne, zika, influenza, sars-like, vaccine, transmission, transmitted, outbreaks, drug-resistant, infections"
virus,2020s,"disease, cases, outbreak, surge, low, infections, number, omicron, rise, china"
platform,2010s,"messaging, acquisitions, non-profit, broadcasting, guerrilla, left-wing, blockchain, aggregation, spanish-language, fledgling"
platform,2020s,"surprising, so-called, cracked, error, patriotic, influential, nsfw, greatest, midnight, drag"
network,2010s,"stylelist, homerun, trop, whydid, kirschner, keiko, ramshackle, beckerman, kailani, mclendon"
network,2020s,"hypocrisy, radio, exposes, personality, late-night, rant, bonkers, business, mocking, right-wing"
model,2010s,"models, lawley, supermodel, plus-size, img, daria, vodianova, narciso, mag, lingerie"
model,2020s,"stunning, heartbreaking, amazing, mogul, hadid, grammy, alongside, dennis, dubbed, career"
web,2010s,"programmatic, streaming, internet, online, photo-sharing, offline, fb, mobile, android, itunes"
web,2020s,
stream,2010s,"streaming, streams, programmatic, ustream, notifications, live-streamed, loop, web, itunes, daters"
stream,2020s,
